	NK.c06.CD56brightCD16lo.CREM	NK.c04.CD56brightCD16lo.CCL3	NK.c05.CD56brightCD16lo.IL7R	NK.c03.CD56brightCD16lo.IL7R.RGS1lo	NK.c02.CD56brightCD16lo.GZMH	NK.c13.CD56dimCD16hi.NR4A3	NK.c12.CD56dimCD16hi.DNAJB1	NK.c10.CD56dimCD16hi.NFKBIA	NK.c07.CD56dimCD16hi.IL32	NK.c08.CD56dimCD16hi.CX3CR1	NK.c01.CD56brightCD16hi	NK.c09.CD56dimCD16hi.ZNF90	NK.c11.CD56dimCD16hi.MKI67
RPH3AL	4.76E-06	3.20E-06	1.38E-05	1.00E-08	1.02E-05	4.96E-06	3.90E-06	8.42E-06	8.43E-06	3.77E-06	1.20E-05	1.00E-08	3.63E-06
VPS53	3.89E-05	5.58E-05	4.83E-05	8.04E-05	5.09E-05	3.84E-05	3.03E-05	3.52E-05	6.74E-05	3.95E-05	0.000119443	7.66E-05	3.26E-05
GEMIN4	1.14E-05	1.60E-05	1.38E-05	1.15E-05	1.02E-05	8.92E-06	7.92E-06	3.83E-06	1.26E-05	1.88E-05	2.39E-05	1.53E-05	2.17E-05
GLOD4	6.35E-05	7.33E-05	5.52E-05	0.00014929	8.15E-05	7.42E-05	6.07E-05	9.10E-05	0.000101027	0.000103446	8.36E-05	6.12E-05	0.000101345
NXN	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	3.63E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
TIMM22	3.26E-05	5.42E-05	3.45E-05	6.89E-05	7.13E-05	3.91E-05	3.28E-05	4.36E-05	5.47E-05	4.70E-05	3.58E-05	1.53E-05	3.98E-05
ABR	2.69E-05	4.30E-05	1.38E-05	3.45E-05	1.02E-05	4.28E-05	2.67E-05	3.52E-05	7.16E-05	6.77E-05	8.36E-05	1.53E-05	1.09E-05
YWHAE	0.000235699	0.000154633	0.000234707	0.000172256	0.000152742	0.000173477	0.000134632	0.000163717	0.000138909	0.000133537	0.000262762	7.66E-05	0.000314871
CRK	5.21E-05	3.83E-05	3.45E-05	2.30E-05	3.06E-05	4.85E-05	3.62E-05	3.29E-05	1.26E-05	2.82E-05	5.97E-05	9.19E-05	3.26E-05
MYO1C	4.76E-06	9.57E-06	1.00E-08	1.15E-05	1.00E-08	1.99E-06	1.81E-06	3.07E-06	4.22E-06	1.00E-08	1.20E-05	1.00E-08	1.09E-05
INPP5K	6.81E-05	7.33E-05	2.07E-05	3.45E-05	0.000101831	0.000110495	8.15E-05	0.000107108	0.000126282	0.000107208	8.36E-05	0.000122482	5.79E-05
PITPNA	2.06E-05	2.39E-05	1.38E-05	2.30E-05	3.06E-05	1.90E-05	1.00E-05	9.95E-06	1.26E-05	1.51E-05	3.58E-05	3.06E-05	1.09E-05
SLC43A2	1.12E-05	6.39E-06	6.91E-06	1.00E-08	1.00E-08	2.77E-05	2.04E-05	1.84E-05	1.68E-05	9.41E-06	3.58E-05	1.00E-08	7.25E-06
SCARF1	1.59E-06	1.00E-08	1.38E-05	1.15E-05	1.00E-08	1.51E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
RILP	7.92E-06	1.44E-05	6.91E-06	2.30E-05	2.04E-05	4.18E-06	3.76E-06	5.36E-06	4.22E-06	7.53E-06	1.00E-08	1.53E-05	1.00E-08
PRPF8	0.000172068	0.000223178	0.000179484	0.000241154	0.000173106	0.000157784	0.000107014	0.000115523	0.000168372	0.000154224	0.000322478	0.000137792	8.32E-05
TLCD2	4.85E-07	1.60E-06	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
WDR81	4.92E-06	1.28E-05	1.38E-05	1.00E-08	1.00E-08	1.11E-05	8.61E-06	1.30E-05	8.43E-06	2.07E-05	2.39E-05	1.00E-08	1.00E-08
SERPINF2	6.43E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.51E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SERPINF1	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	5.75E-07	4.26E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SMYD4	9.03E-06	9.57E-06	2.07E-05	1.15E-05	4.07E-05	2.80E-05	2.22E-05	2.53E-05	4.22E-06	3.01E-05	2.39E-05	1.53E-05	5.43E-05
RPA1	7.14E-05	7.49E-05	9.67E-05	0.00014929	3.06E-05	7.50E-05	5.87E-05	7.80E-05	0.000101027	0.00011473	4.78E-05	4.59E-05	0.000126678
RTN4RL1	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	4.34E-07	4.26E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
DPH1	3.25E-05	2.55E-05	6.91E-06	4.59E-05	2.04E-05	2.48E-05	2.12E-05	2.91E-05	2.95E-05	3.39E-05	2.39E-05	3.06E-05	7.25E-06
OVCA2	8.96E-05	7.97E-05	7.59E-05	6.89E-05	0.000122196	0.000100669	8.41E-05	8.87E-05	8.00E-05	6.77E-05	2.39E-05	9.19E-05	0.000101345
HIC1	6.36E-05	3.19E-05	1.00E-08	2.30E-05	1.00E-08	4.32E-05	4.23E-05	2.37E-05	1.26E-05	7.53E-06	1.00E-08	1.53E-05	1.00E-08
SMG6	2.88E-05	4.46E-05	2.07E-05	5.74E-05	2.04E-05	2.72E-05	2.26E-05	3.52E-05	2.53E-05	3.01E-05	0.000119443	3.06E-05	1.81E-05
SRR	3.65E-06	7.98E-06	1.00E-08	2.30E-05	1.02E-05	3.76E-06	4.31E-06	6.89E-06	8.43E-06	9.41E-06	1.00E-08	1.00E-08	7.25E-06
TSR1	4.12E-05	3.83E-05	2.76E-05	2.30E-05	2.04E-05	2.84E-05	2.19E-05	2.68E-05	2.53E-05	2.82E-05	2.39E-05	4.59E-05	3.26E-05
SGSM2	8.56E-06	1.28E-05	6.91E-06	1.15E-05	2.04E-05	7.08E-06	7.37E-06	6.89E-06	4.22E-06	5.65E-06	4.78E-05	1.53E-05	1.00E-08
MNT	1.01E-05	4.79E-06	1.38E-05	1.00E-08	1.00E-08	1.61E-05	6.67E-06	1.07E-05	1.68E-05	1.69E-05	2.39E-05	1.00E-08	1.09E-05
METTL16	2.80E-05	4.15E-05	2.07E-05	3.45E-05	3.06E-05	2.74E-05	2.71E-05	3.21E-05	5.47E-05	2.63E-05	9.56E-05	3.06E-05	7.25E-06
PAFAH1B1	0.000189321	0.000197673	0.00014497	0.000160773	0.000173106	0.000205004	0.000145041	0.000160657	0.000159954	0.000157986	0.000394137	0.000137792	0.000162869
CLUH	8.40E-06	1.12E-05	1.00E-08	3.45E-05	1.00E-08	8.92E-06	7.64E-06	7.66E-06	2.11E-05	9.41E-06	2.39E-05	1.00E-08	1.45E-05
RAP1GAP2	6.66E-06	7.98E-06	1.38E-05	1.00E-08	5.09E-05	8.72E-05	6.98E-05	8.57E-05	8.42E-05	0.000105327	5.97E-05	3.06E-05	2.90E-05
ASPA	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.88E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
TRPV3	8.01E-07	1.60E-06	1.00E-08	1.00E-08	1.00E-08	3.26E-06	2.23E-06	2.30E-06	1.00E-08	9.41E-06	1.20E-05	1.53E-05	1.00E-08
TRPV1	8.01E-07	1.60E-06	1.00E-08	1.00E-08	1.00E-08	5.75E-07	7.04E-07	7.75E-07	1.00E-08	3.77E-06	1.00E-08	1.00E-08	1.00E-08
SHPK	5.08E-06	1.00E-08	1.00E-08	2.30E-05	1.00E-08	5.59E-06	3.90E-06	5.36E-06	4.22E-06	9.41E-06	1.00E-08	1.00E-08	1.00E-08
CTNS	6.82E-06	1.12E-05	1.38E-05	3.45E-05	1.00E-08	9.48E-06	1.14E-05	1.30E-05	8.43E-06	1.69E-05	1.00E-08	1.53E-05	3.63E-06
TAX1BP3	2.49E-05	4.15E-05	3.45E-05	3.45E-05	4.07E-05	3.64E-05	2.68E-05	3.60E-05	3.37E-05	5.27E-05	1.00E-08	3.06E-05	4.34E-05
P2RX5-TAX1BP3	8.01E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.93E-07	7.04E-07	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
EMC6	0.000104321	8.93E-05	9.67E-05	0.000114841	0.000152742	0.000132266	0.000110761	0.000153007	0.000130491	0.00014106	7.17E-05	0.000153101	0.000170107
P2RX5	7.77E-06	4.79E-06	1.00E-08	1.00E-08	1.00E-08	5.95E-06	5.84E-06	8.42E-06	1.00E-08	1.89E-06	1.00E-08	1.53E-05	1.00E-08
ITGAE	0.000349349	0.0004049	6.21E-05	0.00014929	0.000193471	9.43E-05	0.000101462	0.000107873	8.00E-05	0.000105327	0.000418024	6.12E-05	0.000155631
CAMKK1	1.75E-06	1.00E-08	1.00E-08	1.15E-05	1.00E-08	4.34E-07	8.43E-07	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	3.63E-06
P2RX1	1.12E-06	1.60E-06	1.00E-08	1.00E-08	1.00E-08	8.07E-08	5.65E-07	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
ATP2A3	7.20E-05	0.000100435	6.21E-05	4.59E-05	0.000112013	0.000111201	8.98E-05	0.000136178	0.000113655	0.000120372	0.000191102	0.000153101	8.32E-05
ZZEF1	4.53E-05	5.42E-05	4.14E-05	5.74E-05	0.000101831	5.32E-05	3.71E-05	4.59E-05	5.05E-05	7.15E-05	0.000250818	9.19E-05	4.34E-05
CYB5D2	1.60E-05	3.35E-05	6.91E-06	2.30E-05	3.06E-05	1.17E-05	9.03E-06	1.99E-05	8.43E-06	2.07E-05	1.20E-05	1.00E-08	7.25E-06
ANKFY1	2.41E-05	3.51E-05	4.83E-05	4.59E-05	2.04E-05	2.98E-05	2.24E-05	2.83E-05	2.95E-05	3.20E-05	7.17E-05	1.53E-05	3.26E-05
UBE2G1	7.77E-05	9.57E-05	5.52E-05	9.19E-05	4.07E-05	8.46E-05	7.68E-05	8.42E-05	0.000126282	0.000103446	5.97E-05	0.00016841	0.000191822
SPNS3	1.62E-05	2.23E-05	6.91E-06	1.00E-08	1.00E-08	8.78E-06	7.50E-06	1.15E-05	1.00E-08	1.32E-05	1.20E-05	1.00E-08	1.09E-05
SPNS2	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.51E-07	2.88E-07	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
MYBBP1A	1.74E-05	1.44E-05	2.07E-05	3.45E-05	1.02E-05	1.42E-05	8.48E-06	2.22E-05	1.68E-05	1.69E-05	1.20E-05	1.00E-08	7.25E-06
GGT6	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
PELP1	2.77E-05	3.67E-05	1.38E-05	3.45E-05	3.06E-05	2.34E-05	1.89E-05	1.91E-05	2.53E-05	3.20E-05	1.20E-05	1.53E-05	4.34E-05
ARRB2	0.000132496	0.000224772	0.00014497	0.000172256	0.000305474	0.000216243	0.000194171	0.00027005	0.000307271	0.000259541	7.17E-05	0.000229646	0.000307633
MED11	2.77E-05	4.15E-05	2.07E-05	3.45E-05	7.13E-05	3.83E-05	3.65E-05	5.74E-05	6.74E-05	7.71E-05	3.58E-05	0.000107173	5.79E-05
CXCL16	2.19E-05	4.79E-06	1.00E-08	2.30E-05	1.00E-08	2.63E-06	3.76E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
ZMYND15	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
VMO1	1.00E-08	1.60E-06	1.00E-08	1.00E-08	1.00E-08	5.05E-07	1.49E-07	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
GLTPD2	1.12E-06	3.20E-06	6.91E-06	1.00E-08	1.00E-08	1.00E-06	1.95E-06	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
PSMB6	0.000297272	0.000186514	0.000131164	0.000206705	0.000234199	0.000310469	0.000238028	0.00028382	0.000307271	0.000252019	9.56E-05	0.000260264	0.000463254
PLD2	6.18E-06	7.98E-06	1.38E-05	1.15E-05	1.00E-08	5.45E-06	3.48E-06	9.95E-06	1.68E-05	9.41E-06	1.20E-05	1.53E-05	7.25E-06
MINK1	3.12E-05	5.58E-05	1.00E-08	6.89E-05	3.06E-05	3.16E-05	2.40E-05	2.53E-05	2.53E-05	5.27E-05	8.36E-05	1.53E-05	2.53E-05
CHRNE	2.58E-05	2.55E-05	1.00E-08	1.00E-08	1.00E-08	2.96E-05	2.25E-05	1.84E-05	3.37E-05	1.13E-05	1.00E-08	1.53E-05	3.63E-06
C17orf107	3.34E-05	1.44E-05	1.00E-08	1.00E-08	1.00E-08	1.93E-05	1.47E-05	8.42E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
GP1BA	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-07	1.00E-08	1.00E-08	1.89E-06	1.20E-05	1.00E-08	1.00E-08
SLC25A11	6.71E-05	7.01E-05	7.59E-05	0.000137807	7.13E-05	7.06E-05	7.77E-05	9.18E-05	0.000117864	0.000122253	7.17E-05	0.000153101	0.000141155
RNF167	0.000142151	0.0002439	0.000179484	0.000252638	0.000315656	0.000230239	0.000232199	0.000270815	0.000383034	0.0003122	9.56E-05	0.000199028	0.000264204
PFN1	0.003986145	0.003848056	0.003617108	0.004156881	0.005325267	0.005626167	0.005301903	0.006178039	0.007445829	0.006490175	0.00157652	0.005878689	0.008548312
ENO3	3.02E-06	7.98E-06	1.00E-08	1.00E-08	1.00E-08	4.18E-06	4.87E-06	3.83E-06	4.22E-06	1.13E-05	1.00E-08	1.00E-08	3.63E-06
SPAG7	7.31E-05	6.70E-05	6.21E-05	0.000103358	7.13E-05	8.58E-05	7.75E-05	0.000105578	8.84E-05	0.000144821	4.78E-05	9.19E-05	9.77E-05
CAMTA2	1.98E-05	1.44E-05	1.38E-05	1.00E-08	1.02E-05	2.02E-05	1.85E-05	1.61E-05	8.43E-06	1.51E-05	0.000107499	3.06E-05	2.90E-05
INCA1	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.93E-07	4.26E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
KIF1C	8.72E-06	9.57E-06	3.45E-05	3.45E-05	1.02E-05	9.48E-06	8.20E-06	8.42E-06	8.43E-06	9.41E-06	2.39E-05	1.00E-08	1.81E-05
SLC52A1	1.68E-07	1.60E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
ZFP3	3.49E-06	7.98E-06	6.91E-06	1.00E-08	1.00E-08	3.19E-06	2.79E-06	2.30E-06	1.26E-05	3.77E-06	1.20E-05	3.06E-05	3.63E-06
ZNF232	3.65E-06	9.57E-06	1.38E-05	1.00E-08	1.02E-05	5.95E-06	7.23E-06	6.89E-06	1.00E-08	7.53E-06	1.20E-05	3.06E-05	1.09E-05
USP6	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.02E-05	8.07E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
ZNF594	2.07E-06	1.44E-05	1.00E-08	2.30E-05	1.00E-08	1.92E-06	3.62E-06	4.60E-06	8.43E-06	5.65E-06	4.78E-05	1.00E-08	1.00E-08
SCIMP	1.12E-06	1.00E-08	1.00E-08	1.00E-08	2.04E-05	6.51E-06	1.06E-05	1.22E-05	1.00E-08	1.88E-05	1.00E-08	1.00E-08	1.00E-08
RABEP1	7.49E-05	9.57E-05	0.000103553	3.45E-05	0.000101831	7.66E-05	7.38E-05	7.42E-05	7.58E-05	5.27E-05	0.000119443	6.12E-05	5.07E-05
NUP88	2.22E-05	2.07E-05	3.45E-05	5.74E-05	1.02E-05	2.31E-05	2.07E-05	1.61E-05	2.53E-05	2.26E-05	3.58E-05	1.00E-08	3.26E-05
RPAIN	7.52E-05	6.86E-05	9.67E-05	8.04E-05	0.000122196	7.35E-05	8.27E-05	9.49E-05	0.000109445	0.000103446	0.000119443	7.66E-05	8.32E-05
C1QBP	0.000189954	0.000129128	0.000213999	0.000195222	0.000122196	0.000137285	0.000138379	0.000150712	0.000168372	0.000129776	0.000107499	0.000214337	0.000419825
DHX33	1.28E-05	7.98E-06	2.07E-05	2.30E-05	2.04E-05	8.14E-06	7.92E-06	1.45E-05	8.43E-06	1.13E-05	2.39E-05	1.00E-08	1.09E-05
DERL2	9.12E-05	9.25E-05	4.83E-05	0.000114841	8.15E-05	0.000111131	9.59E-05	0.000120878	0.000151536	0.000133537	8.36E-05	0.000137792	7.24E-05
MIS12	3.40E-05	2.55E-05	4.83E-05	1.00E-08	3.06E-05	4.08E-05	3.48E-05	3.60E-05	2.95E-05	2.45E-05	4.78E-05	4.59E-05	5.43E-05
NLRP1	6.17E-05	0.000157821	6.90E-05	5.74E-05	0.000112013	7.29E-05	7.40E-05	0.000107108	6.74E-05	0.00011285	0.000298591	4.59E-05	1.81E-05
WSCD1	1.68E-07	1.60E-06	1.00E-08	1.00E-08	1.00E-08	1.51E-07	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
PITPNM3	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.51E-07	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
KIAA0753	4.44E-06	1.44E-05	1.00E-08	3.45E-05	1.02E-05	4.68E-06	6.12E-06	2.30E-06	4.22E-06	9.41E-06	3.58E-05	1.00E-08	1.00E-08
TXNDC17	0.000126323	6.22E-05	6.21E-05	6.89E-05	8.15E-05	0.000102648	7.22E-05	9.56E-05	0.000138909	7.52E-05	3.58E-05	4.59E-05	0.000246108
MED31	5.57E-05	3.83E-05	4.83E-05	8.04E-05	4.07E-05	5.34E-05	5.23E-05	4.21E-05	4.21E-05	4.14E-05	4.78E-05	4.59E-05	4.71E-05
XAF1	0.00010907	9.57E-05	4.83E-05	8.04E-05	0.000234199	9.47E-05	0.000106597	0.000138473	0.000126282	0.000146702	0.000238875	6.12E-05	9.77E-05
FBXO39	1.00E-08	1.00E-08	6.91E-06	1.00E-08	1.00E-08	8.07E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
TEKT1	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
ALOX12	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
RNASEK	0.000387971	0.00041287	0.000421084	0.000551197	0.000529481	0.000471425	0.000462999	0.00055233	0.000635577	0.000534118	0.000214989	0.000581754	0.000390872
RNASEK-C17orf49	7.13E-06	4.79E-06	3.45E-05	1.15E-05	1.00E-08	6.30E-06	1.18E-05	1.07E-05	4.22E-06	1.88E-05	1.00E-08	1.00E-08	2.17E-05
C17orf49	2.93E-05	2.39E-05	4.83E-05	5.74E-05	1.02E-05	3.38E-05	4.50E-05	3.90E-05	2.95E-05	3.01E-05	1.20E-05	3.06E-05	5.43E-05
BCL6B	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.88E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SLC16A13	4.44E-06	1.28E-05	1.38E-05	6.89E-05	1.00E-08	4.53E-06	7.92E-06	6.89E-06	1.26E-05	1.32E-05	1.20E-05	1.00E-08	7.25E-06
SLC16A11	4.76E-06	6.39E-06	1.00E-08	1.00E-08	1.00E-08	6.16E-06	5.28E-06	1.45E-05	8.43E-06	2.07E-05	1.20E-05	3.06E-05	1.00E-08
CLEC10A	8.01E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	4.34E-07	1.00E-08	7.75E-07	1.00E-08	1.00E-08	1.20E-05	1.00E-08	1.00E-08
ASGR2	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
ASGR1	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	4.26E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
DLG4	6.43E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.14E-06	1.12E-06	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
ACADVL	0.000153073	0.000170574	0.000151873	0.000241154	0.000183288	0.000170296	0.000141294	0.000179782	0.000168372	0.00016927	0.000274705	0.00016841	0.000173727
DVL2	1.71E-05	1.75E-05	2.07E-05	1.15E-05	4.07E-05	1.69E-05	2.24E-05	2.83E-05	3.79E-05	3.95E-05	3.58E-05	1.53E-05	2.90E-05
PHF23	1.66E-05	2.23E-05	3.45E-05	5.74E-05	4.07E-05	1.92E-05	3.14E-05	2.60E-05	6.31E-05	4.14E-05	3.58E-05	1.53E-05	2.53E-05
GABARAP	0.000488008	0.000556335	0.00048321	0.000620096	0.000672031	0.00055632	0.000541691	0.00057528	0.000681877	0.000669526	0.000179159	0.00097979	0.000575446
CTDNEP1	3.01E-05	5.58E-05	4.14E-05	3.45E-05	2.04E-05	3.66E-05	3.25E-05	3.44E-05	4.63E-05	5.08E-05	4.78E-05	4.59E-05	3.26E-05
ELP5	7.03E-05	5.90E-05	7.59E-05	6.89E-05	9.16E-05	6.63E-05	5.55E-05	6.81E-05	8.00E-05	7.34E-05	4.78E-05	4.59E-05	0.000104964
CLDN7	7.13E-06	7.98E-06	6.91E-06	1.00E-08	1.02E-05	1.92E-06	2.23E-06	3.07E-06	4.22E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08
YBX2	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.20E-05	1.00E-08	1.00E-08
EIF5A	0.000327822	0.000202455	0.000310639	0.000241154	0.000224017	0.000318104	0.000284798	0.000322069	0.000328316	0.000387426	0.000179159	0.000244955	0.000684019
GPS2	6.89E-05	8.45E-05	6.21E-05	9.19E-05	6.11E-05	8.19E-05	7.23E-05	7.50E-05	6.74E-05	8.28E-05	0.000143329	0.000122482	9.41E-05
NEURL4	2.54E-06	4.79E-06	1.38E-05	1.00E-08	1.00E-08	3.05E-06	2.37E-06	7.75E-07	8.43E-06	3.77E-06	2.39E-05	1.00E-08	3.63E-06
ACAP1	0.000332412	0.000500543	0.000421084	0.000528231	0.000458206	0.000193411	0.000194032	0.000241746	0.00022309	0.000276467	0.000609116	0.000199028	0.000166488
KCTD11	1.52E-05	7.98E-06	2.76E-05	3.45E-05	2.04E-05	8.00E-06	1.29E-05	4.60E-06	8.43E-06	3.77E-06	1.20E-05	1.00E-08	3.63E-06
TMEM95	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
TNK1	1.43E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.93E-07	1.49E-07	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
TMEM256-PLSCR3	4.18E-05	5.42E-05	6.21E-05	5.74E-05	7.13E-05	7.11E-05	6.76E-05	6.81E-05	0.000113655	8.84E-05	0.000107499	0.000122482	8.69E-05
TMEM256	0.000122049	0.000106812	0.000186387	0.000137807	0.000203653	0.000105829	0.000100352	0.000106343	0.000172581	0.000137298	2.39E-05	0.000122482	0.000152012
NLGN2	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	5.05E-07	7.04E-07	1.00E-08	1.00E-08	1.00E-08	1.20E-05	1.00E-08	1.00E-08
TMEM102	2.07E-05	1.60E-05	2.07E-05	1.00E-08	3.06E-05	1.88E-05	1.78E-05	1.38E-05	8.43E-06	3.20E-05	2.39E-05	1.53E-05	3.26E-05
FGF11	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.93E-07	2.88E-07	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
CHRNB1	1.01E-05	1.91E-05	1.00E-08	3.45E-05	1.02E-05	1.41E-05	1.75E-05	1.76E-05	2.53E-05	4.33E-05	1.20E-05	1.00E-08	1.45E-05
ZBTB4	3.01E-05	4.78E-05	6.91E-06	1.00E-08	1.00E-08	6.68E-05	4.03E-05	3.37E-05	3.37E-05	5.83E-05	4.78E-05	4.59E-05	1.81E-05
SLC35G6	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.22E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
POLR2A	0.000225569	0.000143475	0.000138067	8.04E-05	9.16E-05	0.000270743	0.000147956	0.000133883	0.000117864	0.000148582	0.000191102	9.19E-05	0.000108583
TNFSF12	5.24E-05	8.61E-05	9.67E-05	8.04E-05	3.06E-05	7.10E-05	6.40E-05	7.88E-05	0.000122073	7.15E-05	1.00E-08	7.66E-05	5.07E-05
TNFSF13	6.43E-07	1.60E-06	6.91E-06	1.15E-05	1.00E-08	2.22E-07	8.43E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SENP3	6.66E-06	6.39E-06	1.00E-08	1.00E-08	1.00E-08	5.45E-06	4.73E-06	6.13E-06	8.43E-06	1.89E-06	1.00E-08	1.00E-08	7.25E-06
EIF4A1	0.000250578	0.00017695	0.000200193	0.000126324	0.000183288	0.000218505	0.000185983	0.000195846	0.00017679	0.000157986	8.36E-05	0.00016841	0.000173727
CD68	7.45E-06	1.60E-06	1.00E-08	1.00E-08	1.02E-05	6.80E-06	6.67E-06	1.54E-06	1.26E-05	7.53E-06	1.00E-08	1.00E-08	1.09E-05
MPDU1	3.77E-05	4.46E-05	2.76E-05	1.15E-05	3.06E-05	3.66E-05	3.58E-05	3.44E-05	5.05E-05	3.76E-05	1.20E-05	4.59E-05	6.15E-05
SOX15	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	2.88E-07	1.00E-08	1.00E-08	1.89E-06	1.00E-08	1.00E-08	1.00E-08
FXR2	1.06E-05	1.12E-05	1.38E-05	1.15E-05	1.02E-05	1.12E-05	1.04E-05	9.95E-06	3.37E-05	9.41E-06	1.20E-05	1.53E-05	1.09E-05
SAT2	8.61E-05	0.000114782	6.90E-05	0.000103358	0.00014256	0.000100952	0.000104654	0.000113993	7.16E-05	0.000116611	8.36E-05	9.19E-05	7.96E-05
ATP1B2	1.12E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	3.63E-07	1.26E-06	1.54E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
