	NK.c06.CD56brightCD16lo.CREM	NK.c04.CD56brightCD16lo.CCL3	NK.c05.CD56brightCD16lo.IL7R	NK.c03.CD56brightCD16lo.IL7R.RGS1lo	NK.c02.CD56brightCD16lo.GZMH	NK.c13.CD56dimCD16hi.NR4A3	NK.c12.CD56dimCD16hi.DNAJB1	NK.c10.CD56dimCD16hi.NFKBIA	NK.c07.CD56dimCD16hi.IL32	NK.c08.CD56dimCD16hi.CX3CR1	NK.c01.CD56brightCD16hi	NK.c09.CD56dimCD16hi.ZNF90	NK.c11.CD56dimCD16hi.MKI67
SPTSSB	2.47E-05	1.12E-05	0.000248513	0.000126324	7.13E-05	5.75E-07	1.12E-06	1.00E-08	1.00E-08	1.89E-06	3.58E-05	1.00E-08	3.63E-06
BCHE	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.51E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SERPINI2	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
WDR49	1.28E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.22E-07	2.88E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
PDCD10	0.000104004	0.000132316	0.000158776	0.000126324	0.000132378	0.000116079	0.000105904	0.000133118	0.000155745	0.000150463	0.000226932	0.000122482	0.000130297
SERPINI1	1.16E-05	2.39E-05	2.07E-05	1.00E-08	2.04E-05	1.12E-05	1.36E-05	1.30E-05	2.53E-05	1.89E-06	1.00E-08	3.06E-05	7.25E-06
GOLIM4	9.31E-05	7.17E-05	0.000131164	0.000126324	7.13E-05	4.40E-05	2.89E-05	2.68E-05	2.53E-05	3.20E-05	7.17E-05	3.06E-05	2.90E-05
MECOM	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
ACTRT3	9.03E-06	1.60E-06	1.00E-08	1.00E-08	1.00E-08	6.46E-07	7.64E-06	1.54E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
MYNN	4.72E-05	5.10E-05	3.45E-05	4.59E-05	3.06E-05	5.38E-05	5.59E-05	6.50E-05	3.79E-05	7.71E-05	8.36E-05	1.00E-08	2.90E-05
LRRC34	1.59E-06	1.60E-06	1.00E-08	1.00E-08	1.00E-08	2.22E-07	8.43E-07	1.54E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SEC62	0.000262924	0.000256653	0.000227804	0.000195222	0.00014256	0.000241478	0.000172243	0.000208851	0.000214672	0.000203122	0.000179159	0.0003215	0.000152012
