	Macro.c08.NLRP3	Macro.c07.LYVE1	Macro.c05.INHBA	Macro.c01.C1QC	Macro.c03.GPNMB	Macro.c04.IL1B	Macro.c02.FN1	Macro.c06.ISG15	Macro.c09.SPP1
SLC43A2	0.000462939	0.00018023	0.0002774	0.000197428	0.000226219	0.000202259	0.000290825	0.00032605	0.000265953
SCARF1	2.53E-05	4.10E-05	4.63E-05	4.12E-05	2.28E-05	2.70E-05	1.63E-05	5.33E-05	2.41E-05
RILP	6.77E-05	6.07E-05	6.83E-05	8.75E-05	8.47E-05	6.84E-05	9.19E-05	0.00010708	7.03E-05
PRPF8	0.000137755	0.000149503	0.00014381	0.00013387	0.000151891	0.000138534	0.000157805	0.000125785	0.000127259
TLCD2	2.98E-06	2.73E-06	3.26E-06	5.33E-06	2.22E-06	1.71E-06	7.81E-07	2.86E-06	2.25E-06
WDR81	1.13E-05	4.85E-05	1.49E-05	4.26E-05	2.88E-05	2.45E-05	3.06E-05	2.14E-05	1.99E-05
SERPINF2	6.08E-06	2.62E-05	1.84E-05	2.68E-05	4.00E-05	4.35E-05	3.24E-05	1.02E-05	7.23E-06
SERPINF1	2.13E-05	0.000128336	0.000124831	0.000204752	0.000194632	0.000188274	0.0001454	7.47E-05	4.42E-05
SMYD4	1.10E-05	3.88E-05	1.31E-05	3.18E-05	2.21E-05	3.32E-05	1.60E-05	9.37E-06	1.50E-05
RPA1	1.92E-05	4.16E-05	3.58E-05	4.90E-05	5.24E-05	4.36E-05	3.94E-05	3.53E-05	3.31E-05
DPH1	1.45E-05	2.94E-05	1.51E-05	2.85E-05	3.61E-05	2.99E-05	3.02E-05	2.08E-05	2.41E-05
OVCA2	9.21E-05	5.03E-05	5.66E-05	6.85E-05	7.38E-05	4.91E-05	7.91E-05	9.44E-05	8.37E-05
HIC1	2.74E-05	1.59E-05	2.07E-05	2.31E-05	6.27E-05	4.38E-05	3.85E-05	4.45E-05	1.65E-05
SMG6	1.64E-05	2.18E-05	1.77E-05	2.27E-05	2.00E-05	1.64E-05	1.78E-05	1.61E-05	1.91E-05
SRR	3.12E-06	8.65E-06	1.14E-05	1.47E-05	1.27E-05	9.37E-06	4.60E-06	7.78E-06	4.78E-06
TSR1	2.00E-05	3.14E-05	2.78E-05	3.08E-05	4.29E-05	3.16E-05	3.58E-05	4.71E-05	2.79E-05
SGSM2	1.74E-05	2.15E-05	1.25E-05	2.16E-05	7.26E-06	8.03E-06	9.39E-06	1.46E-05	1.74E-05
MNT	2.37E-05	2.73E-05	1.38E-05	1.86E-05	1.40E-05	9.50E-06	1.64E-05	2.64E-05	2.66E-05
METTL16	1.24E-05	2.04E-05	1.33E-05	1.74E-05	1.48E-05	1.70E-05	1.52E-05	1.08E-05	1.92E-05
PAFAH1B1	0.000220097	0.000176452	0.00019108	0.000152986	0.000137635	0.000150642	0.000171521	0.000170814	0.000184681
CLUH	1.29E-05	2.45E-05	9.24E-06	2.32E-05	1.43E-05	1.26E-05	1.68E-05	2.20E-05	2.34E-05
TRPV1	8.24E-07	3.29E-06	1.66E-06	2.98E-06	1.92E-06	1.05E-06	7.59E-07	3.64E-07	2.73E-06
SHPK	1.44E-06	5.84E-06	5.42E-06	7.13E-06	9.43E-06	3.23E-06	6.37E-06	1.36E-06	3.94E-06
CTNS	1.74E-05	4.30E-05	4.70E-05	4.63E-05	4.69E-05	4.14E-05	3.13E-05	3.21E-05	3.15E-05
TAX1BP3	6.49E-05	7.24E-05	0.000114377	0.00010378	0.000179429	0.000158722	0.000249733	9.11E-05	9.38E-05
EMC6	0.000109782	8.93E-05	0.000114477	0.000121816	0.000133113	8.67E-05	0.000121677	0.000129443	0.000156022
P2RX5	1.20E-06	9.07E-07	1.21E-06	9.66E-07	1.63E-06	3.40E-06	1.37E-06	1.30E-06	1.04E-06
ITGAE	7.14E-05	5.45E-05	4.06E-05	5.09E-05	7.34E-05	6.02E-05	8.32E-05	4.90E-05	0.000101561
CAMKK1	1.68E-05	1.74E-05	7.38E-06	1.33E-05	1.86E-05	1.42E-05	1.80E-05	1.07E-05	1.54E-05
P2RX1	5.50E-05	1.44E-05	1.77E-05	9.53E-06	1.04E-05	1.28E-05	1.61E-05	2.11E-05	2.28E-05
ATP2A3	5.30E-05	4.29E-06	3.01E-05	1.24E-05	6.78E-06	7.11E-06	1.90E-05	2.52E-05	4.02E-05
ZZEF1	6.12E-05	6.26E-05	3.70E-05	5.06E-05	4.34E-05	3.92E-05	4.09E-05	5.09E-05	5.44E-05
CYB5D2	1.91E-05	2.72E-05	2.17E-05	2.51E-05	2.57E-05	2.97E-05	2.10E-05	1.61E-05	1.86E-05
ANKFY1	2.55E-05	5.71E-05	2.89E-05	4.96E-05	3.73E-05	3.26E-05	3.89E-05	4.46E-05	2.76E-05
UBE2G1	3.19E-05	7.01E-05	4.05E-05	6.01E-05	5.40E-05	5.34E-05	4.09E-05	4.38E-05	5.59E-05
SPNS3	1.19E-05	2.88E-05	6.08E-05	2.74E-05	3.94E-05	7.24E-05	5.77E-05	8.36E-06	4.22E-06
SPNS2	3.23E-07	3.16E-06	7.01E-07	4.38E-06	2.02E-06	6.02E-06	1.46E-06	1.71E-06	2.11E-07
MYBBP1A	1.09E-05	2.29E-05	1.43E-05	1.91E-05	2.11E-05	2.28E-05	2.21E-05	2.12E-05	1.58E-05
SMTNL2	1.19E-07	2.72E-07	2.25E-07	6.93E-07	4.77E-07	6.21E-07	1.00E-08	1.00E-08	1.00E-08
ALOX15	1.61E-07	2.02E-06	1.54E-06	1.25E-06	7.03E-07	1.31E-06	1.00E-08	2.96E-07	1.23E-07
PELP1	1.70E-05	3.15E-05	2.77E-05	3.25E-05	3.09E-05	3.14E-05	2.28E-05	2.44E-05	2.50E-05
ARRB2	0.000555073	0.000613747	0.000465237	0.0005372	0.000525014	0.000563601	0.000494749	0.000462289	0.000542627
MED11	1.77E-05	5.41E-05	2.72E-05	5.68E-05	5.40E-05	4.47E-05	3.28E-05	2.59E-05	3.00E-05
CXCL16	0.00043795	0.000689029	0.000717312	0.000688705	0.000832151	0.0008912	0.000764113	0.000496506	0.000768201
ZMYND15	9.73E-06	4.92E-05	2.42E-05	4.21E-05	2.36E-05	4.28E-05	1.65E-05	1.38E-05	3.39E-05
VMO1	2.70E-05	0.000328166	0.000123641	0.000262291	0.000234757	0.000290601	8.61E-05	6.97E-05	0.000374379
GLTPD2	3.21E-06	1.89E-06	2.42E-06	3.02E-06	1.12E-06	3.69E-06	1.93E-06	1.28E-06	3.05E-06
PSMB6	0.000365866	0.000275502	0.000362321	0.000396913	0.000427979	0.000289739	0.000420541	0.000473562	0.000385743
PLD2	2.95E-05	4.53E-05	3.86E-05	4.43E-05	3.48E-05	3.66E-05	3.22E-05	2.26E-05	4.19E-05
MINK1	5.64E-05	6.16E-05	7.00E-05	9.18E-05	6.88E-05	7.20E-05	8.98E-05	4.90E-05	6.77E-05
CHRNE	0.000106976	5.17E-05	0.00010505	4.62E-05	5.63E-05	6.24E-05	9.07E-05	5.09E-05	4.91E-05
C17orf107	8.89E-05	4.83E-05	7.07E-05	3.60E-05	2.39E-05	4.69E-05	2.63E-05	2.57E-05	2.74E-05
GP1BA	1.26E-07	4.63E-07	1.43E-07	6.59E-07	8.19E-07	5.37E-07	5.64E-07	1.44E-06	2.25E-07
SLC25A11	9.50E-05	0.000107616	0.000103184	0.000128389	0.00014313	0.000123923	0.00014358	0.000135784	0.000111558
RNF167	0.000101183	0.000116617	0.000138711	0.000141055	0.000154446	0.000161192	0.000149192	7.95E-05	0.000112366
PFN1	0.001608591	0.001231752	0.001528444	0.001454933	0.00146188	0.001210913	0.00153803	0.001602786	0.001451702
ENO3	5.77E-06	8.57E-06	1.11E-05	1.07E-05	1.19E-05	7.10E-06	8.66E-06	5.48E-06	1.45E-05
SPAG7	0.000103235	0.000124472	0.000109273	0.000144571	0.000156288	0.000131694	0.000144644	0.000130618	0.000124134
CAMTA2	3.27E-05	3.30E-05	2.97E-05	2.96E-05	2.11E-05	2.11E-05	2.80E-05	3.02E-05	3.01E-05
INCA1	1.09E-06	1.56E-06	1.47E-06	1.27E-06	1.61E-06	1.47E-06	1.34E-06	5.64E-07	1.37E-06
KIF1C	1.93E-05	2.78E-05	1.63E-05	2.46E-05	2.43E-05	1.73E-05	2.05E-05	3.57E-05	2.15E-05
ZFP3	5.15E-07	5.77E-06	1.01E-06	3.41E-06	3.44E-06	1.27E-06	2.28E-06	1.00E-08	1.24E-06
ZNF232	1.18E-06	7.74E-06	1.51E-06	6.92E-06	8.09E-06	5.01E-06	3.13E-06	2.42E-06	4.57E-06
ZNF594	7.27E-07	4.33E-06	1.95E-06	3.13E-06	2.28E-06	2.04E-06	1.33E-06	1.55E-06	9.90E-07
SCIMP	0.000100133	0.000119823	8.61E-05	0.000140624	0.000177506	0.000163162	0.000143057	0.000279998	9.34E-05
RABEP1	6.38E-05	9.05E-05	7.11E-05	8.15E-05	8.30E-05	7.60E-05	7.13E-05	7.62E-05	6.41E-05
NUP88	1.24E-05	2.02E-05	1.83E-05	1.64E-05	1.61E-05	1.58E-05	1.94E-05	2.19E-05	1.69E-05
RPAIN	6.77E-05	0.000111558	9.59E-05	0.000114706	0.000109381	0.000115959	0.000118604	8.05E-05	0.000103852
C1QBP	0.000168901	0.000174297	0.000186122	0.000219736	0.000277158	0.000214927	0.00027083	0.000290857	0.000208504
DHX33	9.02E-06	1.47E-05	5.85E-06	1.19E-05	1.07E-05	7.22E-06	1.17E-05	1.43E-05	9.07E-06
DERL2	7.60E-05	9.31E-05	7.87E-05	0.000101891	0.000113186	7.31E-05	7.98E-05	0.000109011	0.000110155
MIS12	3.05E-05	4.49E-05	2.73E-05	2.26E-05	2.96E-05	3.28E-05	3.05E-05	2.87E-05	3.26E-05
NLRP1	7.42E-05	9.55E-05	7.87E-05	6.02E-05	4.49E-05	7.26E-05	4.20E-05	3.21E-05	3.00E-05
KIAA0753	2.50E-06	5.42E-06	3.31E-06	6.06E-06	6.21E-06	3.17E-06	1.23E-06	8.56E-07	4.15E-06
TXNDC17	0.000198731	0.00012693	0.000156495	0.000220331	0.000205582	9.76E-05	0.000197721	0.000286674	0.000269043
MED31	1.69E-05	2.65E-05	2.10E-05	2.76E-05	2.54E-05	1.82E-05	1.53E-05	3.22E-05	3.96E-05
XAF1	6.98E-05	0.0001119	0.000137702	0.000163313	0.000108054	0.000104051	0.000100568	0.000251832	9.93E-05
RNASEK	0.00080156	0.000638158	0.000750001	0.000748556	0.000807822	0.000708648	0.000774869	0.000812324	0.000761999
C17orf49	3.90E-05	3.26E-05	4.83E-05	3.53E-05	2.82E-05	2.49E-05	2.52E-05	4.84E-05	3.61E-05
BCL6B	1.05E-07	1.11E-07	1.38E-07	3.11E-07	1.00E-08	4.91E-07	1.00E-08	1.00E-08	1.00E-08
SLC16A13	1.63E-06	4.26E-06	4.81E-06	6.42E-06	6.17E-06	5.02E-06	2.50E-06	7.22E-06	4.22E-06
CLEC10A	0.000133104	0.000349562	0.000303966	0.000152788	0.000198197	0.00023987	0.000238488	0.000292665	0.000217564
ASGR2	9.88E-05	2.15E-05	3.74E-05	2.18E-05	1.85E-05	2.48E-05	6.14E-05	6.18E-05	4.52E-05
ASGR1	0.000147118	3.69E-05	6.46E-05	5.86E-05	7.24E-05	3.41E-05	0.00014357	0.000113797	0.000138733
DLG4	2.05E-05	2.41E-05	1.17E-05	1.71E-05	6.28E-06	8.97E-06	9.45E-06	7.53E-06	2.24E-05
ACADVL	0.000320491	0.000231012	0.000255844	0.000257428	0.000281337	0.000231274	0.000320458	0.000275056	0.000385627
DVL2	6.56E-06	3.01E-05	2.08E-05	2.34E-05	2.08E-05	2.16E-05	1.44E-05	1.61E-05	2.03E-05
PHF23	1.43E-05	2.58E-05	1.14E-05	2.74E-05	2.90E-05	1.31E-05	1.43E-05	2.35E-05	2.17E-05
GABARAP	0.001310715	0.001038189	0.001164999	0.001233283	0.001352358	0.00123732	0.001464964	0.001272863	0.001208838
CTDNEP1	9.22E-05	9.66E-05	5.83E-05	0.000103987	6.55E-05	5.57E-05	8.00E-05	9.39E-05	9.42E-05
ELP5	6.20E-05	6.64E-05	5.64E-05	8.02E-05	9.83E-05	7.87E-05	0.000106309	7.39E-05	9.32E-05
CLDN7	3.10E-06	1.71E-05	2.74E-05	2.77E-05	3.15E-05	2.01E-05	1.15E-05	1.34E-05	1.01E-05
EIF5A	0.000363702	0.000295224	0.000322689	0.000323852	0.000398459	0.000309076	0.000391083	0.000524073	0.000385183
GPS2	6.30E-05	6.01E-05	4.95E-05	5.64E-05	6.55E-05	5.76E-05	5.72E-05	5.86E-05	5.60E-05
NEURL4	2.13E-06	7.41E-06	3.08E-06	5.24E-06	5.22E-06	3.76E-06	4.61E-06	2.88E-06	4.18E-06
ACAP1	5.49E-05	1.08E-05	5.61E-05	2.44E-05	2.40E-05	2.30E-05	4.29E-05	3.65E-05	3.43E-05
KCTD11	6.43E-06	8.70E-06	9.74E-06	9.91E-06	8.04E-06	6.48E-06	7.54E-06	5.87E-06	1.07E-05
TMEM95	1.00E-08	1.00E-08	1.73E-06	2.99E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
TMEM256	0.000254082	0.000172876	0.000199685	0.000209807	0.000229106	0.000203228	0.000242556	0.000201664	0.000205546
NLGN2	8.90E-07	2.32E-06	1.08E-06	9.21E-07	1.18E-06	4.83E-07	1.00E-08	1.00E-08	9.39E-07
TMEM102	4.34E-06	8.81E-06	1.25E-05	1.84E-05	2.13E-05	1.34E-05	1.31E-05	1.14E-05	8.02E-06
FGF11	9.38E-07	8.52E-07	3.62E-06	4.21E-06	4.36E-06	1.23E-06	1.27E-06	3.51E-06	1.32E-05
CHRNB1	4.01E-06	7.78E-06	7.64E-06	1.30E-05	1.41E-05	7.54E-06	7.03E-06	1.00E-05	6.54E-06
ZBTB4	2.01E-05	5.02E-05	2.07E-05	4.79E-05	2.96E-05	3.44E-05	2.81E-05	1.31E-05	3.01E-05
POLR2A	0.000178719	0.000226635	0.000201998	0.000172228	0.000131905	0.000189701	0.000208295	0.000170678	0.000203388
TNFSF12	8.35E-05	0.000149004	7.68E-05	0.000182019	0.000274302	0.000202342	0.000182731	0.000110282	8.32E-05
TNFSF13	0.000197164	0.000346009	0.000280244	0.00041157	0.000447036	0.00033542	0.000307602	0.000246521	0.000241176
SENP3	3.16E-06	8.11E-06	4.09E-06	8.16E-06	8.15E-06	5.66E-06	4.90E-06	7.42E-06	5.98E-06
EIF4A1	0.000465724	0.000455407	0.000432161	0.000327477	0.000293658	0.000334458	0.000315979	0.000414045	0.000334798
CD68	0.000907232	0.001201107	0.001023008	0.001310561	0.001301703	0.001139299	0.001036997	0.000982666	0.001209238
MPDU1	8.17E-05	0.000106072	8.45E-05	0.000110836	0.000102034	8.78E-05	9.41E-05	0.000133115	0.000107368
SOX15	1.86E-06	7.16E-07	8.49E-07	6.66E-07	2.82E-07	1.26E-06	2.62E-06	1.47E-06	1.17E-06
FXR2	1.17E-05	1.35E-05	9.98E-06	1.25E-05	1.70E-05	8.84E-06	1.19E-05	1.20E-05	1.37E-05
SAT2	0.000245873	0.000232148	0.000235201	0.000229777	0.000201982	0.000168929	0.000198955	0.000239265	0.000249451
ATP1B2	4.72E-06	1.82E-06	2.20E-06	1.73E-06	3.99E-07	1.11E-06	3.76E-07	2.52E-06	4.57E-06
TP53	2.47E-05	3.22E-05	2.71E-05	3.00E-05	2.97E-05	2.63E-05	3.26E-05	3.20E-05	2.32E-05
WRAP53	1.79E-05	1.30E-05	1.76E-05	1.62E-05	1.34E-05	1.46E-05	1.35E-05	1.39E-05	1.98E-05
KDM6B	0.00111794	0.000602305	0.000814462	0.000476763	0.000386067	0.00068427	0.000758498	0.000636999	0.000640151
TMEM88	5.12E-05	4.06E-05	2.93E-05	3.19E-05	7.62E-06	2.18E-05	2.07E-05	2.84E-05	3.93E-05
NAA38	0.000269077	0.000153125	0.000175419	0.000193485	0.000181322	0.000151978	0.000201937	0.000228045	0.00018473
CYB5D1	0.000182675	0.000118671	0.000108696	0.00011795	2.35E-05	8.22E-05	7.23E-05	7.88E-05	0.000141972
CHD3	7.30E-05	5.31E-05	4.46E-05	5.53E-05	5.09E-05	4.65E-05	6.22E-05	6.22E-05	6.70E-05
KCNAB3	2.28E-06	2.40E-06	1.71E-06	3.35E-06	2.61E-06	3.25E-06	1.27E-06	5.67E-07	1.41E-06
TRAPPC1	0.000401095	0.000226776	0.000338904	0.000360797	0.000375873	0.000268968	0.000382971	0.000385747	0.00036568
CNTROB	1.48E-05	1.84E-05	1.01E-05	1.81E-05	1.66E-05	1.37E-05	1.44E-05	1.33E-05	1.80E-05
GUCY2D	1.69E-06	2.54E-07	1.30E-06	5.05E-07	1.55E-06	1.46E-06	2.88E-06	1.00E-08	4.51E-07
ALOX15B	3.60E-05	5.50E-05	1.58E-05	3.72E-05	0.00010936	0.000111576	7.03E-05	1.80E-05	3.28E-05
ALOXE3	2.65E-07	2.09E-07	1.72E-06	5.51E-07	7.11E-07	7.08E-07	1.00E-08	1.00E-08	4.97E-07
HES7	1.00E-08	6.82E-07	4.16E-07	6.18E-07	1.68E-06	2.03E-07	4.73E-07	1.00E-08	1.00E-08
PER1	0.000199496	0.000387874	0.000193304	0.00025697	0.000260969	0.000348509	0.000334008	0.000213735	0.0002543
VAMP2	7.33E-05	0.000124501	6.00E-05	9.35E-05	5.46E-05	6.72E-05	4.88E-05	4.84E-05	9.45E-05
TMEM107	5.53E-05	0.000141483	0.000107412	8.53E-05	5.69E-05	0.000111528	5.43E-05	3.75E-05	7.74E-05
AC129492.1	2.00E-07	8.14E-07	6.74E-07	1.12E-06	1.88E-06	1.81E-06	1.13E-06	7.13E-07	8.77E-07
AURKB	1.53E-06	6.19E-07	3.46E-06	3.75E-06	2.76E-06	1.62E-06	1.12E-06	3.16E-07	8.32E-07
CTC1	6.10E-06	1.46E-05	6.08E-06	1.15E-05	7.87E-06	7.48E-06	4.79E-06	4.95E-06	1.04E-05
PFAS	4.89E-06	9.41E-06	8.48E-06	9.21E-06	9.66E-06	1.01E-05	8.27E-06	6.09E-06	7.26E-06
SLC25A35	6.80E-06	1.09E-05	1.35E-05	1.75E-05	2.09E-05	1.97E-05	1.75E-05	1.33E-05	6.42E-06
RANGRF	3.52E-05	5.70E-05	4.18E-05	6.75E-05	6.89E-05	6.12E-05	5.18E-05	5.73E-05	5.54E-05
KRBA2	1.54E-06	8.53E-06	3.42E-06	8.10E-06	6.75E-06	5.14E-06	2.02E-06	2.51E-06	2.66E-06
NDEL1	0.000270509	0.000121508	0.00018259	0.000105212	0.000142725	0.000138061	0.000233513	0.000137058	0.000164567
MYH10	2.88E-07	2.28E-06	1.00E-08	5.43E-07	2.77E-07	1.28E-07	2.87E-07	1.00E-08	2.99E-07
PIK3R6	1.41E-05	1.75E-05	1.48E-05	2.09E-05	2.67E-05	2.17E-05	1.38E-05	1.33E-05	2.04E-05
PIK3R5	0.000235041	0.000147287	0.000148526	0.00015006	0.00014345	0.000147196	0.000199825	0.00016264	0.000169211
NTN1	6.18E-07	5.87E-07	4.67E-07	1.00E-08	4.71E-07	2.71E-07	1.00E-08	2.08E-06	1.00E-08
STX8	7.60E-05	0.000103907	9.24E-05	0.000123921	0.00012665	0.000105727	0.000118479	9.48E-05	0.000102724
RCVRN	2.42E-06	1.01E-06	3.29E-07	1.42E-06	1.53E-07	1.00E-08	5.28E-07	8.23E-07	7.21E-07
MYH3	1.11E-06	1.24E-06	3.94E-07	7.73E-07	4.53E-07	2.33E-07	3.14E-07	4.30E-07	4.11E-07
SCO1	1.62E-05	2.88E-05	1.82E-05	3.28E-05	4.54E-05	2.44E-05	3.21E-05	3.77E-05	2.74E-05
ADPRM	4.25E-06	1.44E-05	7.96E-06	1.06E-05	1.18E-05	5.39E-06	5.08E-06	4.05E-06	8.73E-06
TMEM220	1.41E-05	5.11E-05	3.16E-05	4.76E-05	4.91E-05	5.88E-05	4.71E-05	1.46E-05	2.87E-05
ZNF18	1.87E-06	9.71E-06	3.74E-06	6.08E-06	6.84E-06	3.61E-06	3.76E-06	4.65E-06	4.53E-06
MAP2K4	5.01E-05	4.38E-05	3.17E-05	4.25E-05	6.07E-05	5.22E-05	6.13E-05	4.99E-05	4.00E-05
ELAC2	1.60E-05	3.83E-05	2.41E-05	3.84E-05	4.26E-05	3.78E-05	1.93E-05	2.85E-05	2.36E-05
COX10	1.24E-05	2.54E-05	1.66E-05	2.25E-05	2.55E-05	2.70E-05	2.29E-05	3.25E-05	2.22E-05
HS3ST3B1	3.27E-05	1.10E-05	6.02E-05	1.87E-05	4.90E-05	4.26E-05	8.02E-05	3.89E-05	4.20E-05
PMP22	0.000156098	0.000222822	0.000234538	0.000295162	0.00019553	5.40E-05	6.83E-05	8.70E-05	0.00031414
TVP23C	2.45E-06	7.35E-06	4.83E-06	4.72E-06	4.04E-06	4.48E-06	2.78E-06	2.11E-06	4.13E-06
TRIM16	2.95E-06	5.08E-06	3.25E-06	6.10E-06	6.36E-06	4.54E-06	5.92E-06	2.14E-06	6.43E-06
ZNF286A	1.23E-06	2.98E-06	1.92E-06	3.62E-06	2.03E-06	2.65E-06	2.20E-06	7.85E-07	2.09E-06
ADORA2B	4.97E-05	8.85E-06	2.42E-05	7.54E-06	1.72E-05	1.26E-05	4.46E-05	3.63E-05	4.32E-05
ZSWIM7	0.000111817	0.000100889	9.77E-05	0.00010593	0.000128532	0.000122771	0.000147561	0.000107797	9.81E-05
TTC19	0.000112785	7.06E-05	7.70E-05	7.00E-05	8.20E-05	7.79E-05	0.000134105	7.51E-05	7.74E-05
NCOR1	0.000142322	0.000177229	0.000162111	0.000162665	0.00018592	0.000195206	0.00017303	0.000150022	0.000154247
PIGL	1.02E-05	1.85E-05	1.37E-05	1.69E-05	1.92E-05	1.67E-05	1.08E-05	1.02E-05	1.74E-05
CENPV	1.74E-06	2.36E-06	2.77E-06	1.51E-06	2.32E-06	3.52E-06	1.30E-06	4.68E-07	6.75E-06
UBB	0.000667938	0.000973997	0.000942112	0.000911972	0.000742891	0.000875024	0.000738926	0.000837736	0.000891715
TRPV2	5.35E-05	6.43E-05	9.16E-05	9.49E-05	9.11E-05	6.86E-05	6.05E-05	8.17E-05	6.52E-05
LRRC75A	2.04E-06	1.08E-06	5.46E-07	9.32E-07	8.92E-07	6.66E-07	2.16E-06	5.33E-07	1.78E-06
ZNF287	6.18E-07	2.71E-06	2.13E-06	4.10E-06	5.08E-06	4.63E-06	1.23E-06	6.49E-07	1.40E-06
ZNF624	1.16E-06	8.63E-06	2.88E-06	5.46E-06	6.00E-06	3.22E-06	1.75E-06	4.16E-07	2.89E-06
CCDC144A	3.45E-06	6.40E-06	4.12E-06	3.72E-06	7.68E-07	1.15E-06	3.33E-07	1.56E-06	1.05E-06
TNFRSF13B	2.17E-07	4.37E-07	3.99E-07	3.37E-07	1.00E-08	2.66E-07	1.00E-08	3.17E-06	1.00E-08
MPRIP	2.91E-05	4.09E-05	2.82E-05	3.02E-05	1.91E-05	3.28E-05	5.45E-05	2.43E-05	3.42E-05
PLD6	4.34E-07	3.53E-06	1.03E-06	4.88E-06	4.01E-06	4.31E-06	2.15E-06	2.40E-06	3.57E-06
FLCN	2.62E-05	3.17E-05	1.72E-05	2.65E-05	1.10E-05	1.12E-05	1.73E-05	2.93E-05	3.02E-05
COPS3	7.24E-05	0.000118256	0.00010355	0.000113709	0.000174914	0.000171871	0.00011097	0.000101069	8.72E-05
NT5M	3.96E-07	1.24E-06	1.07E-06	1.38E-06	4.13E-06	4.43E-06	1.84E-06	1.00E-08	2.68E-07
MED9	7.68E-06	9.64E-06	6.42E-06	9.00E-06	1.21E-05	7.08E-06	1.08E-05	1.06E-05	8.59E-06
RASD1	2.22E-05	5.62E-05	3.66E-05	4.87E-05	1.42E-05	3.43E-05	1.41E-05	1.65E-05	2.09E-05
PEMT	3.26E-05	2.90E-05	2.92E-05	4.26E-05	4.74E-05	4.03E-05	3.50E-05	4.18E-05	4.00E-05
RAI1	1.35E-05	1.11E-05	7.43E-06	9.18E-06	7.81E-06	9.26E-06	1.37E-05	1.19E-05	9.83E-06
SREBF1	3.74E-05	8.46E-05	4.36E-05	6.76E-05	4.07E-05	4.36E-05	3.26E-05	5.90E-05	5.98E-05
TOM1L2	1.47E-05	2.03E-05	1.46E-05	2.04E-05	1.85E-05	1.94E-05	1.66E-05	1.09E-05	1.75E-05
ATPAF2	2.37E-05	3.45E-05	3.39E-05	4.15E-05	4.73E-05	4.12E-05	5.12E-05	3.76E-05	4.46E-05
GID4	9.36E-06	1.90E-05	1.28E-05	1.95E-05	1.47E-05	1.58E-05	1.24E-05	1.60E-05	1.46E-05
DRG2	4.29E-05	4.79E-05	4.18E-05	5.27E-05	5.16E-05	4.53E-05	5.49E-05	4.91E-05	4.69E-05
ALKBH5	4.69E-05	4.42E-05	3.29E-05	4.59E-05	2.30E-05	2.37E-05	3.17E-05	4.43E-05	5.19E-05
LLGL1	4.48E-06	1.01E-05	3.66E-06	8.52E-06	5.29E-06	8.13E-06	4.24E-06	5.93E-06	6.07E-06
FLII	0.000190904	0.000150632	0.000153027	0.000142027	0.000148016	0.000137192	0.000175835	0.000153999	0.000145279
MIEF2	7.62E-08	5.65E-06	5.46E-07	4.34E-06	3.28E-06	3.51E-06	1.13E-06	1.81E-06	2.46E-06
TOP3A	1.76E-05	2.55E-05	1.11E-05	1.97E-05	2.06E-05	1.76E-05	1.92E-05	1.59E-05	1.47E-05
SMCR8	3.34E-05	3.58E-05	1.77E-05	2.61E-05	2.12E-05	2.39E-05	2.69E-05	3.57E-05	3.22E-05
SHMT1	1.67E-05	0.000121546	2.18E-05	6.73E-05	6.83E-05	8.24E-05	4.53E-05	1.05E-05	3.37E-05
ZNF286B	3.59E-07	1.19E-06	1.10E-06	1.19E-06	9.45E-07	9.16E-07	1.00E-08	1.00E-08	6.66E-07
TRIM16L	1.38E-06	3.64E-06	2.71E-06	2.49E-06	3.09E-06	4.09E-06	4.67E-06	1.24E-06	2.35E-06
TVP23B	3.23E-05	5.32E-05	4.31E-05	4.82E-05	5.13E-05	4.59E-05	2.92E-05	5.03E-05	5.18E-05
PRPSAP2	2.11E-05	3.80E-05	3.49E-05	3.94E-05	3.67E-05	3.83E-05	3.33E-05	2.65E-05	2.81E-05
SLC5A10	2.65E-07	3.38E-07	1.44E-07	1.75E-07	1.40E-07	3.59E-07	2.79E-07	1.00E-08	1.00E-08
FAM83G	1.11E-05	1.91E-06	6.50E-06	4.43E-06	5.55E-06	2.99E-06	9.08E-06	3.02E-06	8.55E-06
GRAP	1.75E-06	7.85E-06	2.38E-06	7.23E-06	3.63E-06	3.13E-06	2.66E-06	1.39E-06	5.69E-06
EPN2	5.74E-06	2.84E-05	5.77E-06	1.95E-05	9.07E-06	1.14E-05	1.28E-05	6.44E-06	9.39E-06
B9D1	3.16E-06	2.54E-06	1.43E-06	3.74E-06	1.59E-06	2.14E-06	1.60E-06	1.21E-06	7.80E-06
MAPK7	0.000132771	2.55E-05	2.46E-05	1.55E-05	1.90E-05	1.27E-05	4.31E-05	3.37E-05	5.60E-05
MFAP4	8.66E-06	4.42E-06	1.61E-06	7.32E-07	2.98E-07	5.41E-07	7.23E-07	1.53E-06	2.80E-06
RNF112	3.92E-06	4.29E-07	1.00E-08	4.80E-08	1.00E-08	3.32E-07	6.54E-07	6.26E-07	2.97E-07
SLC47A1	2.07E-06	4.95E-06	2.96E-06	1.77E-05	1.07E-05	9.78E-06	6.78E-06	1.40E-06	6.22E-06
ALDH3A2	3.13E-05	4.72E-05	3.41E-05	5.45E-05	5.77E-05	5.56E-05	5.82E-05	3.98E-05	4.35E-05
