"CD8.c06.Tem.GZMK"	"CD8.c07.Temra.CX3CR1"	"CD8.c02.Tm.IL7R"	"CD8.c16.MAIT.SLC4A10"	"CD8.c01.Tn.MAL"	"CD8.c05.Tem.CXCR5"	"CD8.c09.Tk.KIR2DL4"	"CD8.c03.Tm.RPS12"	"CD8.c04.Tm.CD52"	"CD8.c10.Trm.ZNF683"	"CD8.c17.Tm.NME1"	"CD8.c15.ISG.IFIT1"	"CD8.c08.Tk.TYROBP"	"CD8.c11.Tex.PDCD1"	"CD8.c14.Tex.TCF7"	"CD8.c12.Tex.CXCL13"
"SMIM1"	1.1636263016101e-06	1.07306439849025e-06	2.49875235965527e-06	1e-08	1.41642657604308e-06	2.12276773960431e-06	1e-08	1e-08	1.79684564933788e-06	6.57822356123556e-07	9.22551752106029e-06	1e-08	1e-08	1e-08	1e-08	1e-08
"LRRC47"	5.76913150805051e-05	3.29649963531976e-05	2.98750283158633e-05	3.33820279970158e-05	3.37642378250338e-05	4.86036580108991e-05	2.49940135731456e-05	1.84375815760778e-05	4.6467986882785e-05	3.72597854771045e-05	2.76565525631809e-05	2.39238457280698e-05	5.35842533867957e-05	3.63548581450719e-05	2.85892816105643e-05	8.84899937465709e-05
"CEP104"	3.11579101434728e-05	3.56226573494232e-05	3.58480339790359e-05	6.28279350532061e-05	3.657709097712e-05	5.38855773599099e-05	4.4981224431662e-05	3.68651631521556e-05	5.89759064281502e-05	4.11467196138458e-05	9.22551752106029e-06	5.1253955131578e-05	5.35842533867957e-05	3.02973817875599e-05	3.81157088140858e-05	4.13006637483998e-05
"DFFB"	5.77813150805051e-06	3.73072539471586e-06	2.00100188772422e-06	1.97306047041269e-06	4.22927972812923e-06	3.17915160940646e-06	1.00036054292582e-05	6.15252719202592e-06	1.43047651947031e-05	3.24911178061778e-06	9.22551752106029e-06	1e-08	8.93904223113262e-06	1e-08	9.53642720352144e-06	5.9086662497714e-06
"C1orf174"	3.92332942547435e-05	5.47578165222476e-05	3.33592816193806e-05	4.71234512899046e-05	3.657709097712e-05	4.54345064014927e-05	1.99972108585165e-05	2.15088451720907e-05	4.28942955841092e-05	3.56402295867956e-05	1.84410350421206e-05	6.15027461578937e-05	5.35842533867957e-05	3.63548581450719e-05	2.85892816105643e-05	3.54019974986284e-05
"NPHP4"	9.23901041288082e-06	1.06406439849025e-05	7.47625707896581e-06	1.37514232928888e-05	4.22927972812923e-06	1.21584145027248e-05	1e-08	1.53663179800648e-05	1.79684564933788e-06	8.10777945154445e-06	1e-08	1.02587910263156e-05	8.93904223113262e-06	6.06747635751198e-06	1.90628544070429e-05	5.9086662497714e-06
"KCNAB2"	0.000121140761669061	0.00015149667678486	0.000112999357128349	9.42369025798092e-05	0.000118149832387618	0.000125191488571555	0.000119933265151099	0.000116718016648493	0.000164399799739085	0.000114998468211931	0.000101380692731663	9.5665382912279e-05	0.000142874675698122	0.000187791767082871	0.000171485689663386	6.48953287474854e-05
"RNF207"	1.1636263016101e-06	5.41532199245123e-07	5.07750471931054e-07	3.93612094082538e-06	1.41642657604308e-06	5.38191934901077e-07	1e-08	1e-08	1.79684564933788e-06	3.33911178061778e-07	1e-08	3.42626367543854e-06	1e-08	1e-08	1e-08	1e-08
"ICMT"	2.76970312386425e-05	3.29649963531976e-05	2.24087712368974e-05	4.51603908194919e-05	1.40742657604308e-05	2.0609485461142e-05	1.00036054292582e-05	1.84375815760778e-05	3.75337586360956e-05	3.11054730939307e-05	9.22551752106029e-06	3.07563730789468e-05	2.67971266933979e-05	1.81824290725359e-05	2.85892816105643e-05	5.9086662497714e-06
"GPR153"	1e-08	1.07306439849025e-06	1.00550094386211e-06	1e-08	1e-08	5.38191934901077e-07	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08
"ACOT7"	1.61607682225414e-05	2.23343523682951e-05	1.19560113263453e-05	1.17883628224761e-05	5.6357063041723e-06	1.16302225678237e-05	1.00036054292582e-05	1.53663179800648e-05	1.07310738960273e-05	1.52338253689036e-05	9.22551752106029e-06	5.46702188070166e-05	1.78680844622652e-05	1.81824290725359e-05	2.85892816105643e-05	1.77059987493142e-05
